지하철역,time_04_05,time_05_06,time_06_07,time_07_08,time_08_09,time_09_10,time_10_11,time_11_12,time_12_13,time_13_14,time_14_15,time_15_16,time_16_17,time_17_18,time_18_19,time_19_20,time_20_21,time_21_22,time_22_23,time_23_24,time_00_01,time_01_02,time_02_03,time_03_04
오류동,6690,156580,261611,615291,672068,394881,302178,271844,315100,311109,298746,332819,364433,452967,653549,523325,326156,299175,237877,134373,25293,37,0,0
오리,8917,46841,229828,472446,720065,418725,278753,261244,290505,294057,290020,308640,350319,438783,657132,411086,286692,244202,196426,107764,21862,11,0,0
오목교(목동운동장앞),158,67515,251984,816474,1437132,949232,565971,557931,605917,659901,660111,695942,807812,1050554,1658265,1027887,745466,572654,504432,216362,15376,57,0,0
오빈,13,1707,7551,12602,14493,11947,10994,10374,10266,10044,9330,11014,11276,16096,13933,8296,5552,6278,4899,2348,1031,0,0,0
오산,3330,84420,232145,461496,408131,283861,240760,241550,282015,277776,277477,302507,361524,472127,562635,404980,313378,243407,166556,86518,6025,8,2,0
오산대,1646,32060,79597,144130,145604,83414,71519,69253,71533,86537,80789,75649,103550,127702,175863,117241,82143,76115,52539,32381,2100,0,0,0
오이도,2403,69925,248374,503567,431455,226499,202333,219652,245488,252627,243739,270246,294545,402646,509869,387874,266248,237463,185288,113594,40010,1472,6,0
옥수,2883,45853,147243,331327,515380,342829,240434,236376,251220,281027,273619,301330,346251,434251,573078,412954,279079,247718,204605,101891,13610,33,0,0
온수(성공회대입구),3345,175969,358633,982861,1183023,562001,375790,346480,393430,394477,376625,413704,517011,642834,981383,739607,439894,397172,316368,196400,58337,2217,43,0
온양온천,5577,25827,61224,116301,162228,130619,131816,164095,168499,153582,164575,152202,140388,148246,171791,112781,84038,74029,50658,36113,4938,3,0,2
올림픽공원(한국체대),32,36013,211326,383518,523720,320663,224539,228455,256020,268371,273355,298533,361528,444427,546009,365780,250829,214488,195795,104805,7605,103,0,0
왕십리(성동구청),19172,185652,368678,911933,1788932,1097030,767042,803366,921013,1013684,1031511,1121671,1291724,1669684,2379227,1665617,1154656,1113667,1015349,585716,104099,1029,15,1
외대앞,5843,72488,127084,244964,372936,260982,207446,213187,233010,241330,250221,276557,298455,347343,395005,317732,215461,211104,178728,115969,18084,41,0,0
